             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas0                         Pavarde0                           5.70               
             Vardas2                         Pavarde2                           8.12               
             Vardas3                         Pavarde3                           7.90               
             Vardas4                         Pavarde4                           6.36               
             Vardas8                         Pavarde8                           7.13               
             Vardas9                         Pavarde9                           5.42               
            Vardas10                         Pavarde10                          8.16               
            Vardas13                         Pavarde13                          7.32               
            Vardas16                         Pavarde16                          5.82               
            Vardas17                         Pavarde17                          7.95               
            Vardas19                         Pavarde19                          8.35               
            Vardas24                         Pavarde24                          7.98               
            Vardas30                         Pavarde30                          6.53               
            Vardas36                         Pavarde36                          8.82               
            Vardas38                         Pavarde38                          7.76               
            Vardas39                         Pavarde39                          5.07               
            Vardas41                         Pavarde41                          7.94               
            Vardas43                         Pavarde43                          7.78               
            Vardas45                         Pavarde45                          6.33               
            Vardas48                         Pavarde48                          5.68               
            Vardas49                         Pavarde49                          8.22               
            Vardas51                         Pavarde51                          5.53               
            Vardas54                         Pavarde54                          7.00               
            Vardas56                         Pavarde56                          5.04               
            Vardas59                         Pavarde59                          6.40               
            Vardas67                         Pavarde67                          5.22               
            Vardas74                         Pavarde74                          5.35               
            Vardas81                         Pavarde81                          7.60               
            Vardas83                         Pavarde83                          5.42               
            Vardas85                         Pavarde85                          6.01               
            Vardas87                         Pavarde87                          6.54               
            Vardas88                         Pavarde88                          9.03               
            Vardas90                         Pavarde90                          6.80               
            Vardas92                         Pavarde92                          6.88               
            Vardas94                         Pavarde94                          7.38               
            Vardas97                         Pavarde97                          5.69               
            Vardas98                         Pavarde98                          7.32               
            Vardas99                         Pavarde99                          6.44               
