             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas0                         Pavarde0                           3.30               
             Vardas3                         Pavarde3                           4.65               
             Vardas8                         Pavarde8                           4.78               
             Vardas9                         Pavarde9                           2.53               
            Vardas10                         Pavarde10                          2.80               
            Vardas11                         Pavarde11                          3.34               
            Vardas12                         Pavarde12                          3.39               
            Vardas13                         Pavarde13                          2.92               
            Vardas16                         Pavarde16                          4.95               
            Vardas17                         Pavarde17                          4.42               
            Vardas20                         Pavarde20                          2.16               
            Vardas23                         Pavarde23                          4.41               
            Vardas24                         Pavarde24                          4.20               
            Vardas26                         Pavarde26                          1.99               
            Vardas29                         Pavarde29                          3.39               
            Vardas32                         Pavarde32                          4.22               
            Vardas36                         Pavarde36                          4.80               
            Vardas40                         Pavarde40                          4.27               
            Vardas43                         Pavarde43                          2.45               
            Vardas46                         Pavarde46                          4.45               
            Vardas47                         Pavarde47                          2.45               
            Vardas48                         Pavarde48                          2.22               
            Vardas50                         Pavarde50                          2.00               
            Vardas51                         Pavarde51                          3.29               
            Vardas54                         Pavarde54                          2.74               
            Vardas56                         Pavarde56                          2.61               
            Vardas60                         Pavarde60                          1.81               
            Vardas62                         Pavarde62                          4.63               
            Vardas64                         Pavarde64                          2.26               
            Vardas65                         Pavarde65                          3.14               
            Vardas68                         Pavarde68                          3.43               
            Vardas70                         Pavarde70                          1.85               
            Vardas71                         Pavarde71                          1.75               
            Vardas72                         Pavarde72                          1.50               
            Vardas77                         Pavarde77                          4.05               
            Vardas78                         Pavarde78                          0.82               
            Vardas79                         Pavarde79                          1.72               
            Vardas80                         Pavarde80                          3.30               
            Vardas83                         Pavarde83                          4.00               
            Vardas85                         Pavarde85                          2.41               
            Vardas88                         Pavarde88                          4.17               
            Vardas91                         Pavarde91                          1.92               
            Vardas92                         Pavarde92                          4.44               
            Vardas93                         Pavarde93                          3.83               
            Vardas97                         Pavarde97                          2.17               
            Vardas98                         Pavarde98                          4.90               
            Vardas99                         Pavarde99                          4.97               
            Vardas100                       Pavarde100                          2.24               
            Vardas101                       Pavarde101                          3.67               
            Vardas104                       Pavarde104                          3.94               
            Vardas105                       Pavarde105                          4.53               
            Vardas114                       Pavarde114                          3.71               
            Vardas119                       Pavarde119                          4.86               
            Vardas120                       Pavarde120                          3.58               
            Vardas121                       Pavarde121                          4.58               
            Vardas124                       Pavarde124                          4.37               
            Vardas125                       Pavarde125                          2.95               
            Vardas128                       Pavarde128                          4.52               
            Vardas129                       Pavarde129                          1.62               
            Vardas130                       Pavarde130                          1.72               
            Vardas132                       Pavarde132                          3.54               
            Vardas136                       Pavarde136                          4.50               
            Vardas138                       Pavarde138                          2.49               
            Vardas139                       Pavarde139                          4.20               
            Vardas140                       Pavarde140                          4.53               
            Vardas143                       Pavarde143                          3.74               
            Vardas146                       Pavarde146                          2.05               
            Vardas148                       Pavarde148                          2.62               
            Vardas150                       Pavarde150                          4.33               
            Vardas153                       Pavarde153                          3.93               
            Vardas154                       Pavarde154                          3.67               
            Vardas156                       Pavarde156                          2.48               
            Vardas157                       Pavarde157                          2.06               
            Vardas158                       Pavarde158                          4.44               
            Vardas159                       Pavarde159                          2.13               
            Vardas160                       Pavarde160                          2.39               
            Vardas162                       Pavarde162                          3.84               
            Vardas164                       Pavarde164                          4.55               
            Vardas166                       Pavarde166                          2.53               
            Vardas167                       Pavarde167                          3.86               
            Vardas172                       Pavarde172                          1.21               
            Vardas173                       Pavarde173                          2.21               
            Vardas175                       Pavarde175                          3.12               
            Vardas178                       Pavarde178                          3.39               
            Vardas181                       Pavarde181                          4.82               
            Vardas182                       Pavarde182                          1.91               
            Vardas184                       Pavarde184                          4.72               
            Vardas186                       Pavarde186                          4.77               
            Vardas189                       Pavarde189                          3.17               
            Vardas191                       Pavarde191                          2.88               
            Vardas193                       Pavarde193                          4.88               
            Vardas194                       Pavarde194                          3.31               
            Vardas195                       Pavarde195                          4.83               
            Vardas198                       Pavarde198                          2.46               
            Vardas199                       Pavarde199                          2.62               
            Vardas201                       Pavarde201                          2.88               
            Vardas204                       Pavarde204                          2.76               
            Vardas205                       Pavarde205                          4.98               
            Vardas206                       Pavarde206                          4.66               
            Vardas208                       Pavarde208                          4.34               
            Vardas209                       Pavarde209                          4.35               
            Vardas211                       Pavarde211                          2.36               
            Vardas212                       Pavarde212                          3.26               
            Vardas213                       Pavarde213                          4.61               
            Vardas214                       Pavarde214                          5.00               
            Vardas216                       Pavarde216                          1.60               
            Vardas218                       Pavarde218                          4.22               
            Vardas219                       Pavarde219                          1.94               
            Vardas223                       Pavarde223                          3.87               
            Vardas225                       Pavarde225                          3.28               
            Vardas226                       Pavarde226                          2.40               
            Vardas227                       Pavarde227                          4.17               
            Vardas228                       Pavarde228                          3.64               
            Vardas229                       Pavarde229                          2.90               
            Vardas231                       Pavarde231                          0.95               
            Vardas232                       Pavarde232                          4.20               
            Vardas233                       Pavarde233                          2.77               
            Vardas234                       Pavarde234                          2.46               
            Vardas235                       Pavarde235                          2.13               
            Vardas236                       Pavarde236                          3.24               
            Vardas238                       Pavarde238                          3.23               
            Vardas239                       Pavarde239                          4.95               
            Vardas240                       Pavarde240                          2.60               
            Vardas241                       Pavarde241                          2.42               
            Vardas242                       Pavarde242                          2.97               
            Vardas243                       Pavarde243                          4.92               
            Vardas246                       Pavarde246                          3.34               
            Vardas247                       Pavarde247                          2.77               
            Vardas248                       Pavarde248                          4.22               
            Vardas249                       Pavarde249                          3.23               
            Vardas254                       Pavarde254                          4.76               
            Vardas255                       Pavarde255                          2.57               
            Vardas256                       Pavarde256                          3.61               
            Vardas258                       Pavarde258                          3.10               
            Vardas260                       Pavarde260                          2.95               
            Vardas261                       Pavarde261                          2.16               
            Vardas262                       Pavarde262                          2.75               
            Vardas263                       Pavarde263                          1.60               
            Vardas264                       Pavarde264                          3.60               
            Vardas266                       Pavarde266                          4.05               
            Vardas268                       Pavarde268                          2.84               
            Vardas270                       Pavarde270                          3.56               
            Vardas271                       Pavarde271                          4.20               
            Vardas272                       Pavarde272                          2.20               
            Vardas274                       Pavarde274                          2.28               
            Vardas275                       Pavarde275                          3.29               
            Vardas276                       Pavarde276                          1.69               
            Vardas277                       Pavarde277                          4.07               
            Vardas279                       Pavarde279                          2.05               
            Vardas280                       Pavarde280                          1.54               
            Vardas283                       Pavarde283                          2.37               
            Vardas284                       Pavarde284                          2.98               
            Vardas285                       Pavarde285                          2.98               
            Vardas286                       Pavarde286                          2.86               
            Vardas288                       Pavarde288                          3.92               
            Vardas289                       Pavarde289                          4.44               
            Vardas291                       Pavarde291                          4.42               
            Vardas293                       Pavarde293                          4.91               
            Vardas294                       Pavarde294                          4.47               
            Vardas297                       Pavarde297                          3.01               
            Vardas298                       Pavarde298                          2.28               
            Vardas299                       Pavarde299                          4.16               
            Vardas301                       Pavarde301                          4.85               
            Vardas304                       Pavarde304                          4.86               
            Vardas305                       Pavarde305                          0.96               
            Vardas306                       Pavarde306                          4.11               
            Vardas307                       Pavarde307                          4.11               
            Vardas317                       Pavarde317                          2.11               
            Vardas321                       Pavarde321                          3.59               
            Vardas322                       Pavarde322                          4.11               
            Vardas324                       Pavarde324                          4.75               
            Vardas325                       Pavarde325                          2.84               
            Vardas326                       Pavarde326                          3.84               
            Vardas332                       Pavarde332                          2.55               
            Vardas337                       Pavarde337                          2.76               
            Vardas341                       Pavarde341                          2.31               
            Vardas342                       Pavarde342                          3.46               
            Vardas343                       Pavarde343                          4.69               
            Vardas345                       Pavarde345                          4.57               
            Vardas347                       Pavarde347                          2.49               
            Vardas349                       Pavarde349                          4.97               
            Vardas353                       Pavarde353                          4.67               
            Vardas354                       Pavarde354                          3.47               
            Vardas355                       Pavarde355                          3.27               
            Vardas356                       Pavarde356                          2.82               
            Vardas358                       Pavarde358                          4.74               
            Vardas363                       Pavarde363                          3.90               
            Vardas368                       Pavarde368                          4.14               
            Vardas369                       Pavarde369                          2.08               
            Vardas373                       Pavarde373                          2.44               
            Vardas374                       Pavarde374                          2.88               
            Vardas376                       Pavarde376                          2.22               
            Vardas378                       Pavarde378                          1.09               
            Vardas379                       Pavarde379                          3.08               
            Vardas380                       Pavarde380                          4.58               
            Vardas382                       Pavarde382                          4.80               
            Vardas383                       Pavarde383                          3.75               
            Vardas390                       Pavarde390                          3.42               
            Vardas391                       Pavarde391                          4.24               
            Vardas393                       Pavarde393                          1.49               
            Vardas395                       Pavarde395                          1.26               
            Vardas397                       Pavarde397                          4.68               
            Vardas398                       Pavarde398                          1.68               
            Vardas401                       Pavarde401                          4.78               
            Vardas405                       Pavarde405                          0.71               
            Vardas406                       Pavarde406                          2.20               
            Vardas408                       Pavarde408                          2.31               
            Vardas409                       Pavarde409                          2.54               
            Vardas414                       Pavarde414                          3.57               
            Vardas415                       Pavarde415                          4.31               
            Vardas416                       Pavarde416                          1.83               
            Vardas419                       Pavarde419                          1.86               
            Vardas422                       Pavarde422                          4.75               
            Vardas423                       Pavarde423                          3.56               
