             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas0                         Pavarde0                           3.30               
             Vardas1                         Pavarde1                           5.01               
             Vardas2                         Pavarde2                           5.85               
             Vardas3                         Pavarde3                           4.65               
             Vardas4                         Pavarde4                           8.25               
             Vardas5                         Pavarde5                           6.35               
             Vardas6                         Pavarde6                           6.96               
             Vardas7                         Pavarde7                           6.92               
             Vardas8                         Pavarde8                           4.78               
             Vardas9                         Pavarde9                           2.53               
            Vardas10                         Pavarde10                          2.80               
            Vardas11                         Pavarde11                          3.34               
            Vardas12                         Pavarde12                          3.39               
            Vardas13                         Pavarde13                          2.92               
            Vardas14                         Pavarde14                          6.35               
            Vardas15                         Pavarde15                          5.62               
            Vardas16                         Pavarde16                          4.95               
            Vardas17                         Pavarde17                          4.42               
            Vardas18                         Pavarde18                          5.22               
            Vardas19                         Pavarde19                          7.44               
            Vardas20                         Pavarde20                          2.16               
            Vardas21                         Pavarde21                          7.73               
            Vardas22                         Pavarde22                          6.87               
            Vardas23                         Pavarde23                          4.41               
            Vardas24                         Pavarde24                          4.20               
            Vardas25                         Pavarde25                          5.54               
            Vardas26                         Pavarde26                          1.99               
            Vardas27                         Pavarde27                          5.67               
            Vardas28                         Pavarde28                          6.60               
            Vardas29                         Pavarde29                          3.39               
            Vardas30                         Pavarde30                          6.97               
            Vardas31                         Pavarde31                          8.90               
            Vardas32                         Pavarde32                          4.22               
            Vardas33                         Pavarde33                          7.41               
            Vardas34                         Pavarde34                          5.26               
            Vardas35                         Pavarde35                          8.04               
            Vardas36                         Pavarde36                          4.80               
            Vardas37                         Pavarde37                          7.30               
            Vardas38                         Pavarde38                          6.11               
            Vardas39                         Pavarde39                          6.96               
            Vardas40                         Pavarde40                          4.27               
            Vardas41                         Pavarde41                          5.95               
            Vardas42                         Pavarde42                          6.65               
            Vardas43                         Pavarde43                          2.45               
            Vardas44                         Pavarde44                          8.03               
            Vardas45                         Pavarde45                          6.88               
            Vardas46                         Pavarde46                          4.45               
            Vardas47                         Pavarde47                          2.45               
            Vardas48                         Pavarde48                          2.22               
            Vardas49                         Pavarde49                          7.65               
            Vardas50                         Pavarde50                          2.00               
            Vardas51                         Pavarde51                          3.29               
            Vardas52                         Pavarde52                          6.44               
            Vardas53                         Pavarde53                          7.43               
            Vardas54                         Pavarde54                          2.74               
            Vardas55                         Pavarde55                          6.80               
            Vardas56                         Pavarde56                          2.61               
            Vardas57                         Pavarde57                          5.72               
            Vardas58                         Pavarde58                          6.62               
            Vardas59                         Pavarde59                          7.22               
            Vardas60                         Pavarde60                          1.81               
            Vardas61                         Pavarde61                          7.77               
            Vardas62                         Pavarde62                          4.63               
            Vardas63                         Pavarde63                          9.06               
            Vardas64                         Pavarde64                          2.26               
            Vardas65                         Pavarde65                          3.14               
            Vardas66                         Pavarde66                          8.05               
            Vardas67                         Pavarde67                          7.94               
            Vardas68                         Pavarde68                          3.43               
            Vardas69                         Pavarde69                          8.12               
            Vardas70                         Pavarde70                          1.85               
            Vardas71                         Pavarde71                          1.75               
            Vardas72                         Pavarde72                          1.50               
            Vardas73                         Pavarde73                          7.15               
            Vardas74                         Pavarde74                          6.39               
            Vardas75                         Pavarde75                          7.21               
            Vardas76                         Pavarde76                          7.12               
            Vardas77                         Pavarde77                          4.05               
            Vardas78                         Pavarde78                          0.82               
            Vardas79                         Pavarde79                          1.72               
            Vardas80                         Pavarde80                          3.30               
            Vardas81                         Pavarde81                          5.86               
            Vardas82                         Pavarde82                          8.31               
            Vardas83                         Pavarde83                          4.00               
            Vardas84                         Pavarde84                          5.22               
            Vardas85                         Pavarde85                          2.41               
            Vardas86                         Pavarde86                          6.56               
            Vardas87                         Pavarde87                          5.80               
            Vardas88                         Pavarde88                          4.17               
            Vardas89                         Pavarde89                          6.63               
            Vardas90                         Pavarde90                          5.63               
            Vardas91                         Pavarde91                          1.92               
            Vardas92                         Pavarde92                          4.44               
            Vardas93                         Pavarde93                          3.83               
            Vardas94                         Pavarde94                          8.71               
            Vardas95                         Pavarde95                          8.21               
            Vardas96                         Pavarde96                          7.00               
            Vardas97                         Pavarde97                          2.17               
            Vardas98                         Pavarde98                          4.90               
            Vardas99                         Pavarde99                          4.97               
            Vardas100                       Pavarde100                          2.24               
            Vardas101                       Pavarde101                          3.67               
            Vardas102                       Pavarde102                          7.56               
            Vardas103                       Pavarde103                          8.14               
            Vardas104                       Pavarde104                          3.94               
            Vardas105                       Pavarde105                          4.53               
            Vardas106                       Pavarde106                          6.87               
            Vardas107                       Pavarde107                          5.35               
            Vardas108                       Pavarde108                          5.43               
            Vardas109                       Pavarde109                          6.21               
            Vardas110                       Pavarde110                          6.68               
            Vardas111                       Pavarde111                          5.69               
            Vardas112                       Pavarde112                          5.94               
            Vardas113                       Pavarde113                          8.42               
            Vardas114                       Pavarde114                          3.71               
            Vardas115                       Pavarde115                          5.36               
            Vardas116                       Pavarde116                          6.65               
            Vardas117                       Pavarde117                          7.17               
            Vardas118                       Pavarde118                          7.88               
            Vardas119                       Pavarde119                          4.86               
            Vardas120                       Pavarde120                          3.58               
            Vardas121                       Pavarde121                          4.58               
            Vardas122                       Pavarde122                          5.53               
            Vardas123                       Pavarde123                          7.76               
            Vardas124                       Pavarde124                          4.37               
            Vardas125                       Pavarde125                          2.95               
            Vardas126                       Pavarde126                          8.06               
            Vardas127                       Pavarde127                          7.41               
            Vardas128                       Pavarde128                          4.52               
            Vardas129                       Pavarde129                          1.62               
            Vardas130                       Pavarde130                          1.72               
            Vardas131                       Pavarde131                          5.71               
            Vardas132                       Pavarde132                          3.54               
            Vardas133                       Pavarde133                          5.00               
            Vardas134                       Pavarde134                          6.08               
            Vardas135                       Pavarde135                          8.21               
            Vardas136                       Pavarde136                          4.50               
            Vardas137                       Pavarde137                          5.83               
            Vardas138                       Pavarde138                          2.49               
            Vardas139                       Pavarde139                          4.20               
            Vardas140                       Pavarde140                          4.53               
            Vardas141                       Pavarde141                          5.66               
            Vardas142                       Pavarde142                          8.28               
            Vardas143                       Pavarde143                          3.74               
            Vardas144                       Pavarde144                          5.48               
            Vardas145                       Pavarde145                          6.54               
            Vardas146                       Pavarde146                          2.05               
            Vardas147                       Pavarde147                          7.56               
            Vardas148                       Pavarde148                          2.62               
            Vardas149                       Pavarde149                          6.28               
            Vardas150                       Pavarde150                          4.33               
            Vardas151                       Pavarde151                          8.62               
            Vardas152                       Pavarde152                          6.63               
            Vardas153                       Pavarde153                          3.93               
            Vardas154                       Pavarde154                          3.67               
            Vardas155                       Pavarde155                          6.88               
            Vardas156                       Pavarde156                          2.48               
            Vardas157                       Pavarde157                          2.06               
            Vardas158                       Pavarde158                          4.44               
            Vardas159                       Pavarde159                          2.13               
            Vardas160                       Pavarde160                          2.39               
            Vardas161                       Pavarde161                          8.20               
            Vardas162                       Pavarde162                          3.84               
            Vardas163                       Pavarde163                          5.22               
            Vardas164                       Pavarde164                          4.55               
            Vardas165                       Pavarde165                          7.38               
            Vardas166                       Pavarde166                          2.53               
            Vardas167                       Pavarde167                          3.86               
            Vardas168                       Pavarde168                          7.94               
            Vardas169                       Pavarde169                          5.01               
            Vardas170                       Pavarde170                          5.56               
            Vardas171                       Pavarde171                          6.18               
            Vardas172                       Pavarde172                          1.21               
            Vardas173                       Pavarde173                          2.21               
            Vardas174                       Pavarde174                          7.08               
            Vardas175                       Pavarde175                          3.12               
            Vardas176                       Pavarde176                          6.94               
            Vardas177                       Pavarde177                          6.28               
            Vardas178                       Pavarde178                          3.39               
            Vardas179                       Pavarde179                          7.82               
            Vardas180                       Pavarde180                          7.16               
            Vardas181                       Pavarde181                          4.82               
            Vardas182                       Pavarde182                          1.91               
            Vardas183                       Pavarde183                          9.00               
            Vardas184                       Pavarde184                          4.72               
            Vardas185                       Pavarde185                          5.56               
            Vardas186                       Pavarde186                          4.77               
            Vardas187                       Pavarde187                          8.71               
            Vardas188                       Pavarde188                          6.17               
            Vardas189                       Pavarde189                          3.17               
            Vardas190                       Pavarde190                          6.12               
            Vardas191                       Pavarde191                          2.88               
            Vardas192                       Pavarde192                          5.73               
            Vardas193                       Pavarde193                          4.88               
            Vardas194                       Pavarde194                          3.31               
            Vardas195                       Pavarde195                          4.83               
            Vardas196                       Pavarde196                          8.91               
            Vardas197                       Pavarde197                          5.25               
            Vardas198                       Pavarde198                          2.46               
            Vardas199                       Pavarde199                          2.62               
            Vardas200                       Pavarde200                          7.68               
            Vardas201                       Pavarde201                          2.88               
            Vardas202                       Pavarde202                          7.14               
            Vardas203                       Pavarde203                          7.03               
            Vardas204                       Pavarde204                          2.76               
            Vardas205                       Pavarde205                          4.98               
            Vardas206                       Pavarde206                          4.66               
            Vardas207                       Pavarde207                          7.58               
            Vardas208                       Pavarde208                          4.34               
            Vardas209                       Pavarde209                          4.35               
            Vardas210                       Pavarde210                          7.90               
            Vardas211                       Pavarde211                          2.36               
            Vardas212                       Pavarde212                          3.26               
            Vardas213                       Pavarde213                          4.61               
            Vardas214                       Pavarde214                          5.00               
            Vardas215                       Pavarde215                          6.62               
            Vardas216                       Pavarde216                          1.60               
            Vardas217                       Pavarde217                          7.01               
            Vardas218                       Pavarde218                          4.22               
            Vardas219                       Pavarde219                          1.94               
            Vardas220                       Pavarde220                          6.13               
            Vardas221                       Pavarde221                          5.81               
            Vardas222                       Pavarde222                          8.01               
            Vardas223                       Pavarde223                          3.87               
            Vardas224                       Pavarde224                          6.45               
            Vardas225                       Pavarde225                          3.28               
            Vardas226                       Pavarde226                          2.40               
            Vardas227                       Pavarde227                          4.17               
            Vardas228                       Pavarde228                          3.64               
            Vardas229                       Pavarde229                          2.90               
            Vardas230                       Pavarde230                          7.22               
            Vardas231                       Pavarde231                          0.95               
            Vardas232                       Pavarde232                          4.20               
            Vardas233                       Pavarde233                          2.77               
            Vardas234                       Pavarde234                          2.46               
            Vardas235                       Pavarde235                          2.13               
            Vardas236                       Pavarde236                          3.24               
            Vardas237                       Pavarde237                          6.74               
            Vardas238                       Pavarde238                          3.23               
            Vardas239                       Pavarde239                          4.95               
            Vardas240                       Pavarde240                          2.60               
            Vardas241                       Pavarde241                          2.42               
            Vardas242                       Pavarde242                          2.97               
            Vardas243                       Pavarde243                          4.92               
            Vardas244                       Pavarde244                          7.92               
            Vardas245                       Pavarde245                          7.54               
            Vardas246                       Pavarde246                          3.34               
            Vardas247                       Pavarde247                          2.77               
            Vardas248                       Pavarde248                          4.22               
            Vardas249                       Pavarde249                          3.23               
            Vardas250                       Pavarde250                          5.49               
            Vardas251                       Pavarde251                          9.35               
            Vardas252                       Pavarde252                          7.95               
            Vardas253                       Pavarde253                          5.72               
            Vardas254                       Pavarde254                          4.76               
            Vardas255                       Pavarde255                          2.57               
            Vardas256                       Pavarde256                          3.61               
            Vardas257                       Pavarde257                          5.81               
            Vardas258                       Pavarde258                          3.10               
            Vardas259                       Pavarde259                          6.78               
            Vardas260                       Pavarde260                          2.95               
            Vardas261                       Pavarde261                          2.16               
            Vardas262                       Pavarde262                          2.75               
            Vardas263                       Pavarde263                          1.60               
            Vardas264                       Pavarde264                          3.60               
            Vardas265                       Pavarde265                          5.48               
            Vardas266                       Pavarde266                          4.05               
            Vardas267                       Pavarde267                          5.60               
            Vardas268                       Pavarde268                          2.84               
            Vardas269                       Pavarde269                          7.80               
            Vardas270                       Pavarde270                          3.56               
            Vardas271                       Pavarde271                          4.20               
            Vardas272                       Pavarde272                          2.20               
            Vardas273                       Pavarde273                          5.00               
            Vardas274                       Pavarde274                          2.28               
            Vardas275                       Pavarde275                          3.29               
            Vardas276                       Pavarde276                          1.69               
            Vardas277                       Pavarde277                          4.07               
            Vardas278                       Pavarde278                          6.42               
            Vardas279                       Pavarde279                          2.05               
            Vardas280                       Pavarde280                          1.54               
            Vardas281                       Pavarde281                          5.28               
            Vardas282                       Pavarde282                          7.29               
            Vardas283                       Pavarde283                          2.37               
            Vardas284                       Pavarde284                          2.98               
            Vardas285                       Pavarde285                          2.98               
            Vardas286                       Pavarde286                          2.86               
            Vardas287                       Pavarde287                          6.29               
            Vardas288                       Pavarde288                          3.92               
            Vardas289                       Pavarde289                          4.44               
            Vardas290                       Pavarde290                          5.62               
            Vardas291                       Pavarde291                          4.42               
            Vardas292                       Pavarde292                          7.90               
            Vardas293                       Pavarde293                          4.91               
            Vardas294                       Pavarde294                          4.47               
            Vardas295                       Pavarde295                          6.55               
            Vardas296                       Pavarde296                          8.02               
            Vardas297                       Pavarde297                          3.01               
            Vardas298                       Pavarde298                          2.28               
            Vardas299                       Pavarde299                          4.16               
            Vardas300                       Pavarde300                          7.74               
            Vardas301                       Pavarde301                          4.85               
